Suzuki V-Strom DL 1000 ,"1 000 см3 (98 л.с.), v-образное, 2 цилиндра, 4 такта, 6 передач, цепь, cеребристый",298 000 ₽,2004,48 000 км
Harley-Davidson Street Glide ,"1 584 см3 (78 л.с.), v-образное, 2 цилиндра, 4 такта, 6 передач, ремень, оранжевый",1 050 000 ₽,2011,28 500 км
Kawasaki ER-6f (Ninja 650R) ,"650 см3 (72 л.с.), цепь, зеленый",350 000 ₽,2014,15 000 км
Honda VFR 800 ,"800 см3 (110 л.с.), 4 цилиндра, cеребристый",280 000 ₽,2003,40 000 км
Днепр MT-11 ,"650 см3 (32 л.с.), оппозитное, 2 цилиндра, 4 такта, 4 прямых и задняя, кардан, зеленый",20 000 ₽,1988,36 000 км
Harley-Davidson Electra Glide ,"1 690 см3 (80 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, ремень, желтый",550 000 ₽,2005,20 000 км
BMW F 800 GS ,"800 см3, рядное, 2 цилиндра, 4 такта, 6 передач, цепь, серый",420 000 ₽,2009,56 800 км
Futong FT100-10 ,"50 см3, 4 такта, 4 передачи, черный",20 000 ₽,2009,2 000 км
Suzuki GSX 1300 R Hayabusa ,"1 300 см3 (180 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, черный",350 000 ₽,2002,46 376 км
Yamaha VMAX 1200 ,"1 200 см3 (145 л.с.), 4 цилиндра, черный",160 000 ₽,1992,12 000 км
BMW R Nine T ,"1 200 см3 (110 л.с.), оппозитное, 2 цилиндра, 4 такта, 6 передач, кардан, белый",780 000 ₽,2017,180 км
Honda GL 1800 ,"1 800 см3 (118 л.с.), оппозитное, 6 цилиндров, 4 такта, 5 прямых и задняя, кардан, серый",720 000 ₽,2008,67 000 км
BMW R 1100 RT ,"1 100 см3 (80 л.с.), 2 цилиндра, 5 передач, кардан, cеребристый",210 000 ₽,1997,91 972 км
Honda NC 700 ,"700 см3 (50 л.с.), 2 цилиндра, цепь, черный",325 000 ₽,2013,49 332 км
Yamaha FJR 1300 ,"1 300 см3 (146 л.с.), 4 цилиндра, акпп, кардан, коричневый",770 000 ₽,2014,19 009 км
Harley-Davidson Electra Glide ,"1 450 см3 (64 л.с.), 6 передач, ремень, серый",495 000 ₽,2004,54 821 км
Yamaha XVS 400 ,"400 см3 (33 л.с.), 2 цилиндра, 4 такта, 5 передач, кардан, зеленый",175 000 ₽,1999,28 156 км
Suzuki Bandit GSF 1200 ,"1 200 см3 (100 л.с.), 4 цилиндра, 5 передач, цепь, черный",265 000 ₽,2007,39 103 км
Honda VT 750 ,"750 см3 (45 л.с.), 5 передач, цепь, зеленый",255 000 ₽,2005,64 905 км
Yamaha XVS 400 ,"400 см3 (33 л.с.), 2 цилиндра, 4 такта, 5 передач, кардан, черный",155 000 ₽,1998,28 826 км
Kawasaki Z 1000SX ,"1 000 см3 (138 л.с.), 4 цилиндра, 6 передач, цепь, черный",450 000 ₽,2012,40 665 км
Yamaha XVS 950 ,"950 см3 (54 л.с.), 2 цилиндра, 5 передач, ремень, черный",355 000 ₽,2009,50 946 км
Kawasaki Z 1000SX ,"1 000 см3 (138 л.с.), 4 цилиндра, 6 передач, цепь, зеленый",475 000 ₽,2014,35 279 км
Suzuki Bandit GSF 1200 ,"1 200 см3 (100 л.с.), рядное, 4 цилиндра, 4 такта, 5 передач, цепь, cеребристый",235 000 ₽,2005,38 000 км
Yamaha YZF 600R ,"600 см3 (100 л.с.), 4 цилиндра, 4 такта, 6 передач, цепь, синий",185 000 ₽,2001,65 000 км
